instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_elite_size,param_path_strategy,param_selection_strategy,param_local_search_eval_limit,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,rpd
J30_1.RCP,0,81.67105263157895,0.3523068428039551,DE_rand/1_fixedF_bin_fixedCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,29.663672446208476
J30_1.RCP,1,71.77631578947368,0.3431670665740967,DE_rand/1_fixedF_bin_fixedCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,13.954459995822019
J30_1.RCP,0,105.19736842105264,0.11363601684570312,PR_forward_best_noLS,38,1000,0,,60.0,100.0,,,,,,,,False,,,,,,,10.0,forward,best,50.0,,,,,,,,,,67.01483183622312
J30_1.RCP,1,100.56578947368422,0.0936441421508789,PR_forward_best_noLS,38,1000,1,,60.0,100.0,,,,,,,,False,,,,,,,10.0,forward,best,50.0,,,,,,,,,,59.661583455191156
J30_1.RCP,0,62.98684210526316,0.44119882583618164,HS_fixed_random,38,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.0
J30_1.RCP,1,64.51315789473684,0.422961950302124,HS_fixed_random,38,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,2.423229580112795
J30_2.RCP,0,94.84070294784581,0.3242809772491455,DE_rand/1_fixedF_bin_fixedCR_noLS,42,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,9.15241630836885
J30_2.RCP,1,93.50736961451247,0.32160377502441406,DE_rand/1_fixedF_bin_fixedCR_noLS,42,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,7.617879442295021
J30_2.RCP,0,101.84070294784581,0.10890603065490723,PR_forward_best_noLS,42,1000,0,,60.0,100.0,,,,,,,,False,,,,,,,10.0,forward,best,50.0,,,,,,,,,,17.208734855256388
J30_2.RCP,1,108.55498866213152,0.08424806594848633,PR_forward_best_noLS,42,1000,1,,60.0,100.0,,,,,,,,False,,,,,,,10.0,forward,best,50.0,,,,,,,,,,24.93622407369953
J30_2.RCP,0,86.88832199546485,0.44370198249816895,HS_fixed_random,42,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.0
J30_2.RCP,1,89.31689342403628,0.4265730381011963,HS_fixed_random,42,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,2.7950492917773118
J30_3.RCP,0,74.45754461871282,0.31947803497314453,DE_rand/1_fixedF_bin_fixedCR_noLS,43,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,5.053033193437592
J30_3.RCP,1,78.13196322336398,0.3215749263763428,DE_rand/1_fixedF_bin_fixedCR_noLS,43,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,10.237314002289178
