x,y,best_algo,instance_id
-2.9278874939259034,2.585843099039097,HS_fixed_random,J30_1.RCP
-3.3436871605792273,-0.20154898526624168,BA_none,J30_10.RCP
1.7785381681936494,-4.3144123584361065,HS_fixed_random,J30_2.RCP
-0.7801102198377017,2.293081964588302,HS_fixed_random,J30_3.RCP
4.2826815521838295,-0.47523400550506734,BA_none,J30_4.RCP
-5.149884183818894,-0.11092114664750474,BA_none,J30_5.RCP
-2.365530959741608,-0.6177153171722367,HS_fixed_random,J30_6.RCP
4.196780683088455,5.048588048693308,HS_fixed_random,J30_7.RCP
4.186483263770909,-1.060497693113472,BA_none,J30_8.RCP
0.12261635066648953,-3.147183606180074,HS_fixed_random,J30_9.RCP
