instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_w,param_c1,param_c2,param_restart_strategy,param_restart_threshold,param_sa_final_temp,param_f_min,param_f_max,param_A0,param_r0,param_gamma,rpd
J30_4.RCP,1,56.8595041322314,0.6853728294372559,BA_none,55,1000,1,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,7.715430861723414
J30_5.RCP,0,77.02185223725284,0.770251989364624,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,31,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,41.309660175639515
J30_5.RCP,1,84.82830385015606,0.7196040153503418,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,31,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,55.63192058037413
J30_5.RCP,0,56.376690946930275,0.7890517711639404,PSO_none_none,31,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,3.4326078655975367
J30_5.RCP,1,59.27991675338189,0.7925601005554199,PSO_none_none,31,1000,1,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,8.759068346697198
J30_5.RCP,0,72.7637877211238,0.6671011447906494,BA_none,31,1000,0,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,33.49751813669334
J30_5.RCP,1,54.5057232049948,0.6639962196350098,BA_none,31,1000,1,50,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.0
J30_6.RCP,0,68.5803324099723,0.7466518878936768,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,38,1000,0,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,13.997927938298629
J30_6.RCP,1,69.52770083102493,0.7308762073516846,GA_roulette_single_point_random_random_none_noNeighborhood_noSA,38,1000,1,50,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,15.57269483135722
J30_6.RCP,0,62.94875346260388,0.8036689758300781,PSO_none_none,38,1000,0,50,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,4.6368136295614395
